username,password
FrodoBaggins,theringbearer
AragornElessar,kingofgondor
GandalfTheGrey,youshallnotpass
LegolasGreenleaf,elvenarcher
GimliSonOfGloin,axethrower
GaladrielLadyOfLight,keeperofnenya
SamwiseGamgee,loyalgardener
MeriadocBrandybuck,pippintook
BoromirOfGondor,hornofgondor
FaramirStewardOfGondor,brotherofboromir
GollumSméagol,preciousmaster
ElrondHalfelven,rivendelllord
ArwenEvenstar,undomiel
ThranduilElvenking,woodlandrealm
GloinSonOfGroin,friendofbilbo
BilboBaggins,eleventyfirstbirthday
SarumanWhite,mindofmetal
EowynShieldmaiden,womanofrohan
TreebeardEnt,keeperofthetrees
GwaihirWindlord,lordofeagles
MelkorMorgoth,darklord
FeanorSilmarilsmith,oathbound
ManweValarofthesky,kingofarda
LuthienTinuviel,nightingale
MandosDoomed,keeperofthedead
AuleSmithoftheValar,creatorofdwarves
UlmoLordofWaters,seaguardian
