username,password
DaleCooper,damnfinecoffee
LauraPalmer,firewalkwithme
SheriffTruman,bookhouseboy
AudreyHorne,onedamnfinegirl
BobbyMilford,jacuzzimachine
MargaretLenterman,mylogdoesnotjudge
TheLog,logladyslog
BenHorner,greatnorthern
ShellyJohnson,double_r_diner
LelandPalmer,killsinblue
AgentCole,thatsatwinthing
DonnaHayward,secretlove
HawkEye,spiritualtracker
SarahPalmer,whitehorse
JosiePackard,mysteriousvisitor
PeteMartell,wrappedinplastic
CatherineMartell,woodspark
AlbertRosenfield,forensicsgenius
LucyMoran,pieandcoffee
LeoJohnson,smokesandmirrors
MajorBriggs,cosmicmessenger
Bob,blacklodge
TheManFromAnotherPlace,redroom
